[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:29:21] 移动止盈v2启动
[2026-04-21 01:29:21] 参数: 激活>8.0% | 回撤>4.0% | 止损>9.0% | 间隔5秒
[2026-04-21 01:29:21] ==================================================
[2026-04-21 01:33:49] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:33:55] 监控中: 2个 | SCRTUSDT: ⏳-1.32% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:02] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:07] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:13] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:19] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:25] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:31] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:37] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳+0.20%
[2026-04-21 01:34:43] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.08%
[2026-04-21 01:34:49] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.08%
[2026-04-21 01:34:55] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.13%
[2026-04-21 01:35:01] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.11%
[2026-04-21 01:35:07] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.11%
[2026-04-21 01:35:12] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
[2026-04-21 01:35:18] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
[2026-04-21 01:35:24] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
[2026-04-21 01:35:30] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.18%
[2026-04-21 01:35:36] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.47%
[2026-04-21 01:35:42] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.47%
[2026-04-21 01:35:48] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.47%
[2026-04-21 01:35:54] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.47%
[2026-04-21 01:36:00] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.60%
[2026-04-21 01:36:06] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.60%
[2026-04-21 01:36:12] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.60%
[2026-04-21 01:36:18] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.60%
[2026-04-21 01:36:24] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.94%
[2026-04-21 01:36:30] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.70%
[2026-04-21 01:36:36] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.72%
[2026-04-21 01:36:41] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.41%
[2026-04-21 01:36:47] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.41%
[2026-04-21 01:36:53] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.41%
[2026-04-21 01:36:59] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.50%
[2026-04-21 01:37:05] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.65%
[2026-04-21 01:37:11] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-1.07%
[2026-04-21 01:37:16] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-1.07%
[2026-04-21 01:37:22] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-1.07%
[2026-04-21 01:37:28] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.70%
[2026-04-21 01:37:34] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-1.16%
[2026-04-21 01:37:40] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.93%
[2026-04-21 01:37:46] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.93%
[2026-04-21 01:37:51] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.93%
[2026-04-21 01:37:57] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:03] 监控中: 2个 | SCRTUSDT: ⏳-1.23% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:09] 监控中: 2个 | SCRTUSDT: ⏳-1.58% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:15] 监控中: 2个 | SCRTUSDT: ⏳-1.67% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:21] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:26] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:32] 监控中: 2个 | SCRTUSDT: ⏳-2.29% | NAORISUSDT: ⏳-0.85%
[2026-04-21 01:38:38] 监控中: 2个 | SCRTUSDT: ⏳-2.90% | NAORISUSDT: ⏳-0.80%
[2026-04-21 01:38:44] 监控中: 2个 | SCRTUSDT: ⏳-2.99% | NAORISUSDT: ⏳-0.63%
[2026-04-21 01:38:50] 监控中: 2个 | SCRTUSDT: ⏳-2.90% | NAORISUSDT: ⏳-0.63%
[2026-04-21 01:38:56] 监控中: 2个 | SCRTUSDT: ⏳-3.52% | NAORISUSDT: ⏳-1.04%
[2026-04-21 01:39:02] 监控中: 2个 | SCRTUSDT: ⏳-3.43% | NAORISUSDT: ⏳-1.04%
[2026-04-21 01:39:07] 监控中: 2个 | SCRTUSDT: ⏳-3.52% | NAORISUSDT: ⏳-1.04%
[2026-04-21 01:39:13] 监控中: 2个 | SCRTUSDT: ⏳-3.35% | NAORISUSDT: ⏳-1.04%
[2026-04-21 01:39:19] 监控中: 2个 | SCRTUSDT: ⏳-3.35% | NAORISUSDT: ⏳-0.80%
[2026-04-21 01:39:25] 监控中: 2个 | SCRTUSDT: ⏳-3.35% | NAORISUSDT: ⏳-0.80%
[2026-04-21 01:39:31] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.80%
[2026-04-21 01:39:37] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.70%
[2026-04-21 01:39:43] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.70%
[2026-04-21 01:39:50] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.70%
[2026-04-21 01:39:56] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.67%
[2026-04-21 01:40:02] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:40:08] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳+0.29%
[2026-04-21 01:40:14] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:40:20] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:40:25] 监控中: 2个 | SCRTUSDT: ⏳-3.26% | NAORISUSDT: ⏳-0.13%
[2026-04-21 01:40:31] 监控中: 2个 | SCRTUSDT: ⏳-3.17% | NAORISUSDT: ⏳-0.13%
[2026-04-21 01:40:37] 监控中: 2个 | SCRTUSDT: ⏳-3.08% | NAORISUSDT: ⏳-0.16%
[2026-04-21 01:40:43] 监控中: 2个 | SCRTUSDT: ⏳-3.08% | NAORISUSDT: ⏳-0.16%
[2026-04-21 01:40:49] 监控中: 2个 | SCRTUSDT: ⏳-3.08% | NAORISUSDT: ⏳+0.90%
[2026-04-21 01:40:55] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳+0.26%
[2026-04-21 01:41:01] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳+0.26%
[2026-04-21 01:41:07] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.46%
[2026-04-21 01:41:12] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.46%
[2026-04-21 01:41:18] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:24] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:30] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:36] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:42] 监控中: 2个 | SCRTUSDT: ⏳-2.82% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:47] 监控中: 2个 | SCRTUSDT: ⏳-2.73% | NAORISUSDT: ⏳-0.29%
[2026-04-21 01:41:53] 监控中: 2个 | SCRTUSDT: ⏳-2.73% | NAORISUSDT: ⏳-0.28%
[2026-04-21 01:41:59] 监控中: 2个 | SCRTUSDT: ⏳-2.73% | NAORISUSDT: ⏳-0.28%
[2026-04-21 01:42:05] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳-0.10%
[2026-04-21 01:42:11] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳-0.10%
[2026-04-21 01:42:16] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳-0.10%
[2026-04-21 01:42:22] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳-0.10%
[2026-04-21 01:42:28] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳-0.10%
[2026-04-21 01:42:34] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:42:40] 监控中: 2个 | SCRTUSDT: ⏳-2.64% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:42:45] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.03%
[2026-04-21 01:42:51] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.10%
[2026-04-21 01:42:57] 监控中: 2个 | SCRTUSDT: ⏳-2.46% | NAORISUSDT: ⏳+0.10%
